FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
csmag_64.fds,59.667, 5.479E+01,262144,58,3
dsmag_32.fds,8.654, 7.902E+00,32768,32,7
dsmag_64.fds,97.432, 9.147E+01,262144,63,5
mu0_32.fds,125.901, 1.251E+02,32768,670,5
deardorff_32.fds,6.647, 5.862E+00,32768,31,5
deardorff_64.fds,79.033, 7.324E+01,262144,63,4
vreman_32.fds,7.191, 6.449E+00,32768,32,6
vreman_64.fds,80.546, 7.469E+01,262144,65,4
wale_32.fds,9.298, 8.547E+00,32768,47,5
wale_64.fds,94.540, 8.958E+01,262144,95,3
yplus_8.fds,13.353, 1.330E+01,64,900,230
yplus_16.fds,30.762, 3.070E+01,128,900,266
yplus_32.fds,164.524, 1.645E+02,256,900,713
sem_flat_leddy_p2.fds,566.389, 5.660E+02,35937,900,17
sem_par_leddy_p2.fds,374.702, 3.743E+02,35937,900,11
sem_atm_leddy_p2.fds,956.280, 9.503E+02,35937,900,29
sem_ramp_leddy_p2.fds,371.344, 3.709E+02,35937,900,11
sem_open_wind.fds,1558.733, 1.558E+03,99840,900,17
ramp_prof_u_z.fds,2792.597, 2.788E+03,24000,900,129
Bova_1a.fds,13.809, 1.168E+01,40000,465,0
Bova_1b.fds,19.215, 1.704E+01,40000,697,0
Bova_4a.fds,23.772, 2.160E+01,40000,929,0
bulk_density_file.fds,9.644, 1.362E+00,75000,1,18
char_oxidation_1.fds,103.509, 9.551E+01,4500,900,23
dragon_5a.fds,2328.105, 2.322E+03,12000,900,215
hot_rods.fds,520.468, 5.152E+02,1000,900,572
level_set_fuel_model_1.fds,497.281, 4.908E+02,25600,900,21
LS_ellipse_0ms_00deg.fds,3.363, 3.085E+00,12500,392,0
LS_ellipse_5ms_00deg.fds,19.576, 1.932E+01,12500,900,1
LS_ellipse_0ms_30deg.fds,12.024, 7.032E+00,12500,575,0
LS_ellipse_5ms_30deg.fds,18.535, 1.452E+01,12500,900,1
LS4_ember_ignition.fds,21.859, 1.540E+01,20,641,1201
LS4_ember_yield.fds,85.598, 8.545E+01,8000,900,11
pine_needles.fds,28.460, 2.484E+01,1000,900,27
radiation_gas-veg_consistency_gas.fds,14.507, 1.414E+01,5760,389,6
radiation_gas-veg_consistency_veg.fds,28.437, 2.779E+01,5760,389,12
random_walk_1.fds,107.520, 1.074E+02,2000,119,451
random_walk_2.fds,121.009, 1.209E+02,2000,119,507
tree_shapes.fds,24.530, 4.436E+00,384000,3,3
vegetation_drag_1.fds,60.970, 5.904E+01,120,286,1720
vegetation_drag_2.fds,110.432, 1.081E+02,120,447,2015
633956926
153480.654
