FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
gas_filling.fds,880.194, 8.767E+02,15360,900,63
helium_1d_isothermal.fds,24.205, 2.406E+01,8192,150,19
helium_1d_const_gamma.fds,20.965, 2.084E+01,8192,150,16
helium_2d_isothermal.fds,2851.777, 2.851E+03,10368,900,305
helium_air_jet_floor.fds,120.252, 1.112E+02,108000,71,14
hole.fds,86.072, 8.088E+01,8000,480,21
no_hole.fds,101.219, 9.594E+01,8000,480,24
jet_fan.fds,185.962, 1.799E+02,20000,402,22
symmetry_test.fds,0.834, 7.612E-01,1000,50,0
symmetry_test_2.fds,404.190, 4.038E+02,49152,639,12
tangential_velocity.fds,390.841, 3.863E+02,25000,900,17
velocity_bc_test.fds,3796.963, 3.792E+03,375,900,11235
blasius_16.fds,55.274, 5.519E+01,384,900,159
blasius_32.fds,340.912, 3.408E+02,1536,900,246
blasius_64.fds,2623.773, 2.624E+03,6144,900,474
mwtest_cfl.fds,45.195, 4.512E+01,120,900,417
mass_heat_wall_device_test.fds,1124.850, 1.124E+03,256000,614,7
mass_heat_wall_device_test_2.fds,1356.450, 1.356E+03,256000,690,7
particle_offgas_1.fds,21.477, 1.627E+01,8000,126,16
particle_offgas_2.fds,26.461, 2.129E+01,8000,126,21
particle_offgas_3.fds,90.199, 9.005E+01,8000,476,23
particle_offgas_4.fds,220.219, 2.172E+02,8000,900,30
species_conservation_1.fds,94.128, 9.027E+01,8000,534,21
species_conservation_2.fds,18.449, 1.560E+01,2000,187,41
species_conservation_3.fds,112.644, 1.081E+02,1000,900,120
species_conservation_4.fds,78.535, 7.554E+01,1000,900,83
hot_layer_360.fds,1415.395, 1.415E+03,1800,900,873
realizable_mass_fractions.fds,254.536, 2.488E+02,12000,900,23
adiabatic_con_flux.fds,10.424, 1.038E+01,1000,497,20
adiabatic_net_flux.fds,20.419, 1.629E+01,1000,313,52
convective_cooling.fds,5.984, 1.889E+00,27,900,77
convective_cooling_p1.fds,0.076, 3.333E-02,27,180,0
convective_cooling_p05.fds,0.167, 1.276E-01,27,720,0
convective_cooling_p025.fds,0.440, 3.997E-01,27,900,0
convective_cooling_p01.fds,4.107, 2.221E+00,27,900,91
convective_cooling_p005.fds,8.404, 6.952E+00,27,900,286
convective_cooling_p0025.fds,44.372, 4.346E+01,27,900,1788
convective_cooling_p00125.fds,213.094, 2.111E+02,27,900,8687
