FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
particle_heating_radiation.fds,389.081, 3.851E+02,1000,900,427
sphere_drag_1.fds,386.875, 3.672E+02,120,555,5513
sphere_drag_2.fds,258.380, 2.299E+02,10000,633,36
terminal_velocity_dt_1_0.fds,2.878, 2.419E-02,160,20,0
terminal_velocity_dt_0_1.fds,3.342, 2.215E-01,160,200,0
terminal_velocity_dt_0_01.fds,4.761, 1.941E+00,160,900,13
terminal_velocity_dt_0_001.fds,17.438, 1.537E+01,160,900,106
terminal_velocity_dt_0_0001.fds,179.107, 1.763E+02,160,900,1224
flat_fire.fds,3.145, 3.266E-01,5000,33,0
fluid_part_mom_x.fds,9.499, 5.746E+00,640,251,35
fluid_part_mom_y.fds,9.328, 5.686E+00,640,251,35
fluid_part_mom_z.fds,9.134, 5.627E+00,640,251,35
water_evaporation_1.fds,48.307, 3.505E+01,1000,900,38
water_evaporation_2.fds,1060.077, 1.057E+03,64,900,18350
water_evaporation_3.fds,1165.718, 1.153E+03,1000,900,1281
water_evaporation_4.fds,2763.570, 2.760E+03,3000,551,1669
water_evaporation_4_np100.fds,53.714, 5.050E+01,3000,560,30
water_evaporation_5.fds,57.364, 5.393E+01,64,900,936
water_evaporation_6.fds,923.774, 9.096E+02,1000,900,1010
water_evaporation_7.fds,3057.072, 3.039E+03,6000,900,562
water_evaporation_8.fds,112.469, 1.075E+02,3630,900,32
water_fuel_sprays.fds,3231.658, 3.216E+03,25000,900,142
screen_drag_1.fds,266.670, 2.642E+02,60,900,4892
screen_drag_2.fds,659.616, 6.571E+02,60,900,12168
porous_media.fds,2673.731, 2.657E+03,72,900,41003
water_evap_1_const_gamma.fds,59.033, 4.651E+01,1000,900,51
pulsating_FL0_16.fds,3.547, 1.171E+00,256,126,36
pulsating_FL0_32.fds,12.993, 1.054E+01,1024,234,43
pulsating_FL0_64.fds,93.093, 9.055E+01,4096,461,47
pulsating_FL0_128.fds,835.138, 8.320E+02,16384,916,55
pulsating_FL2_16.fds,4.340, 1.003E+00,256,126,31
pulsating_FL2_32.fds,13.995, 1.075E+01,1024,234,44
pulsating_FL2_64.fds,103.984, 1.008E+02,4096,461,53
pulsating_FL2_128.fds,829.561, 8.256E+02,16384,916,55
pulsating_FL4_16.fds,4.136, 1.161E+00,256,126,35
pulsating_FL4_32.fds,18.124, 1.520E+01,1024,234,63
pulsating_FL4_64.fds,89.840, 8.688E+01,4096,461,46
pulsating_FL4_128.fds,834.274, 8.305E+02,16384,916,55
compression_wave_FL0_16.fds,14.515, 1.146E+01,256,539,83
compression_wave_FL0_32.fds,98.977, 9.641E+01,1024,900,104
compression_wave_FL0_64.fds,598.801, 5.963E+02,4096,900,161
compression_wave_FL0_128.fds,2245.992, 2.243E+03,16384,900,152
compression_wave_FL2_16.fds,28.909, 2.646E+01,256,944,109
compression_wave_FL2_32.fds,91.339, 8.839E+01,1024,900,95
compression_wave_FL2_64.fds,604.242, 6.013E+02,4096,900,163
